barrio,distrito,nombre,estado_licencia,capacidad
goya,salamanca,CERVECERIA 100 MONTADITOS,Abierta,15.85
pacifico,retiro,BEMMU XIO Y JAVI,Abierta,12.72
cortes,centro,LA TAPERIA,Abierta,62.62
recoletos,salamanca,LOBITO DE MAR,Abierta,47.08
almendrales,usera,BAR BAHIA,Abierta,32.4
casco h.vallecas,villa de vallecas,CAFETERIA AVENIDA,Abierta,62.8
los jeronimos,retiro,SAN ILDEFONSO,Suspension temporal,44.8
valverde,fuencarral-el pardo,SUSHI Y BAR,Abierta,13.6
castilla,chamartin,VIPS,Abierta,42.24
san pascual,ciudad lineal,EL RICÓN,Abierta,27.81
goya,salamanca,TREZE,Abierta,13.48
ibiza,retiro,RETIRO ANTOJITOS,Abierta,31.86
cortes,centro,POR DETERMINAR,Abierta,7.2
delicias,arganzuela,RESTAURANTE VILLA DEL PRADO,Abierta,22.68
arapiles,chamberi,TABERNA DEL VOLAPIE,Abierta,24.6
santa eugenia,villa de vallecas,ASADOR DE POLLOS JAYSA,Abierta,62.2
los rosales,villaverde,KEBABISH DÖNER KEBAB,Abierta,25.46
cuatro caminos,tetuan,FIVE GUYS,Abierta,57.43
pinar del rey,hortaleza,BUCARO CERVECERIA,Abierta,32.4
estrella,retiro,MALLORCA EN MADRID,Abierta,46.37
justicia,centro,RODILLA,Abierta,19.44
almendrales,usera,BAR RESTAURANTE,Abierta,37.85
ibiza,retiro,LARDIES,Abierta,55.47
sol,centro,BARCELONA OCHO,Abierta,2.88
prosperidad,chamartin,CAFETERIA ZAZA,Abierta,7.83
rosas,san blas-canillejas,TABERNA AUSTRIA,Abierta,16.15
abrantes,carabanchel,CAFETERIA EL CAZADOR,Abierta,39.98
trafalgar,chamberi,RODILLA,Abierta,17.64
palomeras sureste,puente de vallecas,BAR MARTINEZ CERVECERIA,Abierta,7.02
trafalgar,chamberi,CAFETERIA GADES,Abierta,26.31
canillejas,san blas-canillejas,BAR RESTAURANTE GOTERON,Abierta,20.36
opañel,carabanchel,PASTELERIA JOSE-PAN,Abierta,52.65
comillas,carabanchel,BAR RESTAURANTE LA PARRILLA,Abierta,21.42
arguelles,moncloa-aravaca,EL RINCON DE JOSÉ,Abierta,24.84
